onset	duration	offset	stage
9690	30	0	REM
9720	30	0	REM
9750	30	0	REM
9780	30	0	REM
9810	30	0	REM
9840	30	0	REM
9870	30	0	REM
9900	30	0	REM
9930	30	0	N1
9960	30	0	N1
9990	30	0	N1
10020	30	0	N1
10050	30	0	N1
10080	30	0	N1
10110	30	0	REM
10140	30	0	REM
10170	30	0	REM
10200	30	0	REM
10230	30	0	REM
10260	30	0	REM
10290	30	0	REM
10320	30	0	REM
10350	30	0	REM
10380	30	0	REM
10410	30	0	REM
10440	30	0	REM
10470	30	0	N1
10500	30	0	N1
10530	30	0	N1
10560	30	0	N1
10590	30	0	N1
10620	30	0	N1
10650	30	0	N1
10680	30	0	N2
10710	30	0	N2
10740	30	0	N2
10770	30	0	N2
10800	30	0	N2
10830	30	0	N2
10860	30	0	N2
10890	30	0	N2
10920	30	0	N2
10950	30	0	N2
10980	30	0	N2
11010	30	0	N2
11040	30	0	N2
11070	30	0	N2
11100	30	0	N2
11130	30	0	N2
11160	30	0	N2
11190	30	0	N2
11220	30	0	N2
11250	30	0	N2
11280	30	0	N2
11310	30	0	N2
11340	30	0	N2
11370	30	0	N2
11400	30	0	N2
11430	30	0	N2
11460	30	0	N2
11490	30	0	N2
11520	30	0	N2
11550	30	0	N2
11580	30	0	N2
11610	30	0	N2
11640	30	0	N2
11670	30	0	N2
11700	30	0	N2
11730	30	0	N2
11760	30	0	N2
11790	30	0	N2
11820	30	0	N2
11850	30	0	N2
11880	30	0	N2
11910	30	0	N2
11940	30	0	N2
11970	30	0	N2
12000	30	0	N2
12030	30	0	N2
12060	30	0	N2
12090	30	0	N2
12120	30	0	N2
12150	30	0	N2
12180	30	0	N2
12210	30	0	N2
12240	30	0	N2
12270	30	0	N2
12300	30	0	N2
12330	30	0	N2
12360	30	0	N2
12390	30	0	N2
12420	30	0	N2
12450	30	0	N2
12480	30	0	N2
12510	30	0	N2
12540	30	0	N2
12570	30	0	N2
12600	30	0	N2
12630	30	0	N2
12660	30	0	N2
12690	30	0	N2
12720	30	0	N2
12750	30	0	N2
12780	30	0	N2
12810	30	0	N2
12840	30	0	N2
12870	30	0	N2
12900	30	0	N2
12930	30	0	N2
12960	30	0	N2
12990	30	0	N2
13020	30	0	N2
13050	30	0	N2
13080	30	0	N2
13110	30	0	N2
13140	30	0	N2
13170	30	0	N2
13200	30	0	N2
13230	30	0	N2
13260	30	0	N2
13290	30	0	N2
13320	30	0	N2
13350	30	0	N2
13380	30	0	N2
13410	30	0	N2
13440	30	0	N2
13470	30	0	N2
13500	30	0	N2
13530	30	0	N2
13560	30	0	N2
13590	30	0	N2
13620	30	0	N2
13650	30	0	N2
13680	30	0	N2
13710	30	0	N2
13740	30	0	N2
13770	30	0	N2
13800	30	0	N2
13830	30	0	N2
13860	30	0	N2
13890	30	0	N2
13920	30	0	N1
13950	30	0	N1
13980	30	0	N1
14010	30	0	N1
14040	30	0	N1
14070	30	0	N1
14100	30	0	N1
14130	30	0	N2
14160	30	0	N2
14190	30	0	N2
14220	30	0	N2
14250	30	0	N2
14280	30	0	N2
14310	30	0	REM
14340	30	0	REM
14370	30	0	REM
14400	30	0	REM
14430	30	0	REM
14460	30	0	REM
14490	30	0	REM
14520	30	0	REM
14550	30	0	REM
14580	30	0	REM
14610	30	0	REM
14640	30	0	REM
14670	30	0	REM
14700	30	0	REM
14730	30	0	REM
14760	30	0	REM
14790	30	0	REM
14820	30	0	REM
14850	30	0	REM
14880	30	0	REM
14910	30	0	REM
14940	30	0	REM
14970	30	0	REM
15000	30	0	N1
15030	30	0	N1
15060	30	0	N1
15090	30	0	N1
15120	30	0	N1
15150	30	0	N1
15180	30	0	N1
15210	30	0	N1
15240	30	0	N1
15270	30	0	N1
15300	30	0	N1
15330	30	0	N2
15360	30	0	N2
15390	30	0	N2
15420	30	0	N2
15450	30	0	N2
15480	30	0	N2
15510	30	0	N2
15540	30	0	N2
15570	30	0	N2
15600	30	0	N2
15630	30	0	N2
15660	30	0	N2
15690	30	0	N2
15720	30	0	N2
15750	30	0	N2
15780	30	0	N2
15810	30	0	N2
15840	30	0	N2
15870	30	0	N2
15900	30	0	N2
15930	30	0	N2
15960	30	0	N2
15990	30	0	N2
16020	30	0	N2
16050	30	0	N2
16080	30	0	N2
16110	30	0	N2
16140	30	0	N2
16170	30	0	N2
16200	30	0	N2
16230	30	0	N2
16260	30	0	N2
16290	30	0	N2
16320	30	0	N2
16350	30	0	N2
16380	30	0	N2
16410	30	0	N2
16440	30	0	N2
16470	30	0	N2
16500	30	0	W
16530	30	0	W
16560	30	0	W
16590	30	0	W
16620	30	0	W
16650	30	0	W
16680	30	0	W
16710	30	0	W
16740	30	0	W
16770	30	0	W
16800	30	0	W
16830	30	0	W
16860	30	0	W
16890	30	0	W
16920	30	0	W
16950	30	0	W
16980	30	0	W
17010	30	0	W
17040	30	0	W
17070	30	0	W
17100	30	0	W
17130	30	0	W
17160	30	0	W
17190	30	0	W
17220	30	0	W
17250	30	0	W
17280	30	0	W
17310	30	0	W
17340	30	0	W
17370	30	0	W
17400	30	0	N1
17430	30	0	N1
17460	30	0	W
17490	30	0	W
17520	30	0	N1
17550	30	0	N1
17580	30	0	N1
17610	30	0	W
17640	30	0	N1
17670	30	0	N1
17700	30	0	N1
17730	30	0	W
17760	30	0	W
17790	30	0	W
17820	30	0	N1
17850	30	0	N1
17880	30	0	N1
17910	30	0	N1
17940	30	0	N1
17970	30	0	N1
