onset	duration	offset	stage
0	30	0	W
30	30	0	N1
60	30	0	N1
90	30	0	N1
120	30	0	N1
150	30	0	N1
180	30	0	N1
210	30	0	N1
240	30	0	N1
270	30	0	N1
300	30	0	N1
330	30	0	N1
360	30	0	N1
390	30	0	N1
420	30	0	N1
450	30	0	N1
480	30	0	N1
510	30	0	N1
540	30	0	N2
570	30	0	N2
600	30	0	N2
630	30	0	N2
660	30	0	N2
690	30	0	W
720	30	0	W
750	30	0	W
780	30	0	N1
810	30	0	N1
840	30	0	N1
870	30	0	N1
900	30	0	N1
930	30	0	N1
960	30	0	N1
990	30	0	N1
1020	30	0	N1
1050	30	0	N1
1080	30	0	N1
1110	30	0	N1
1140	30	0	N2
1170	30	0	N2
1200	30	0	N2
1230	30	0	W
1260	30	0	W
1290	30	0	W
1320	30	0	W
1350	30	0	W
1380	30	0	N1
1410	30	0	N1
1440	30	0	N1
1470	30	0	N1
1500	30	0	N1
1530	30	0	N1
1560	30	0	N1
1590	30	0	N1
1620	30	0	N1
1650	30	0	N1
1680	30	0	N2
1710	30	0	N2
1740	30	0	N2
1770	30	0	N2
1800	30	0	N2
1830	30	0	N2
1860	30	0	N2
1890	30	0	N2
1920	30	0	N2
1950	30	0	N2
1980	30	0	N2
2010	30	0	N2
2040	30	0	N2
2070	30	0	N3
2100	30	0	N2
2130	30	0	N2
2160	30	0	N3
2190	30	0	N3
2220	30	0	N2
2250	30	0	N2
2280	30	0	N2
2310	30	0	N2
2340	30	0	N2
2370	30	0	N2
2400	30	0	N2
2430	30	0	N3
2460	30	0	N2
2490	30	0	N3
2520	30	0	N3
2550	30	0	W
2580	30	0	W
2610	30	0	W
2640	30	0	N1
2670	30	0	N1
2700	30	0	N1
2730	30	0	N1
2760	30	0	N1
2790	30	0	N1
2820	30	0	N1
2850	30	0	N1
2880	30	0	N1
2910	30	0	N1
2940	30	0	N1
2970	30	0	N1
3000	30	0	N1
3030	30	0	N1
3060	30	0	N1
3090	30	0	N1
3120	30	0	N1
3150	30	0	N1
3180	30	0	N1
3210	30	0	N1
3240	30	0	N1
3270	30	0	W
3300	30	0	N1
3330	30	0	N1
3360	30	0	N1
3390	30	0	N1
3420	30	0	N1
3450	30	0	N1
3480	30	0	N2
3510	30	0	N2
3540	30	0	N2
3570	30	0	N2
3600	30	0	N2
3630	30	0	N2
3660	30	0	N2
3690	30	0	N2
3720	30	0	N2
3750	30	0	N2
3780	30	0	N2
3810	30	0	N2
3840	30	0	N2
3870	30	0	N2
3900	30	0	N2
3930	30	0	N2
3960	30	0	N2
3990	30	0	N2
4020	30	0	N2
4050	30	0	W
4080	30	0	N1
4110	30	0	N1
4140	30	0	N2
4170	30	0	N2
4200	30	0	N2
4230	30	0	N2
4260	30	0	N2
4290	30	0	N2
4320	30	0	N2
4350	30	0	N2
4380	30	0	N2
4410	30	0	N2
4440	30	0	N2
4470	30	0	N2
4500	30	0	N2
4530	30	0	N2
4560	30	0	N2
4590	30	0	N2
4620	30	0	N2
4650	30	0	N2
4680	30	0	N2
4710	30	0	N2
4740	30	0	N2
4770	30	0	N2
4800	30	0	N2
4830	30	0	N2
4860	30	0	N2
4890	30	0	N2
4920	30	0	N2
4950	30	0	N2
4980	30	0	N2
5010	30	0	N2
5040	30	0	N2
5070	30	0	N2
5100	30	0	N2
5130	30	0	N2
5160	30	0	N2
5190	30	0	REM
5220	30	0	REM
5250	30	0	REM
5280	30	0	REM
5310	30	0	REM
5340	30	0	REM
5370	30	0	REM
5400	30	0	REM
5430	30	0	REM
5460	30	0	REM
5490	30	0	REM
5520	30	0	REM
5550	30	0	REM
5580	30	0	REM
5610	30	0	REM
5640	30	0	REM
5670	30	0	REM
5700	30	0	REM
5730	30	0	REM
5760	30	0	REM
5790	30	0	REM
5820	30	0	REM
5850	30	0	REM
5880	30	0	REM
5910	30	0	REM
5940	30	0	REM
5970	30	0	REM
6000	30	0	REM
6030	30	0	REM
6060	30	0	REM
6090	30	0	REM
6120	30	0	REM
6150	30	0	REM
6180	30	0	REM
6210	30	0	REM
6240	30	0	REM
6270	30	0	REM
6300	30	0	REM
6330	30	0	REM
6360	30	0	REM
6390	30	0	REM
6420	30	0	REM
6450	30	0	REM
6480	30	0	REM
6510	30	0	REM
6540	30	0	REM
6570	30	0	REM
6600	30	0	REM
6630	30	0	REM
6660	30	0	REM
6690	30	0	REM
6720	30	0	REM
6750	30	0	REM
6780	30	0	REM
6810	30	0	REM
6840	30	0	REM
6870	30	0	REM
6900	30	0	REM
6930	30	0	REM
6960	30	0	REM
6990	30	0	REM
7020	30	0	REM
7050	30	0	REM
7080	30	0	REM
7110	30	0	REM
7140	30	0	REM
7170	30	0	REM
7200	30	0	REM
7230	30	0	REM
7260	30	0	REM
7290	30	0	REM
7320	30	0	REM
7350	30	0	REM
7380	30	0	REM
7410	30	0	REM
7440	30	0	REM
7470	30	0	N1
7500	30	0	N1
7530	30	0	N1
7560	30	0	N1
7590	30	0	N1
7620	30	0	N1
7650	30	0	N1
7680	30	0	N2
7710	30	0	N2
7740	30	0	N2
7770	30	0	N2
7800	30	0	N2
7830	30	0	N2
7860	30	0	N2
7890	30	0	N2
7920	30	0	N2
7950	30	0	N2
7980	30	0	N2
8010	30	0	N2
8040	30	0	N2
8070	30	0	N3
8100	30	0	N2
8130	30	0	N3
8160	30	0	N2
8190	30	0	N3
8220	30	0	N2
8250	30	0	N3
8280	30	0	N2
8310	30	0	N2
8340	30	0	N3
8370	30	0	N2
8400	30	0	N2
8430	30	0	N2
8460	30	0	N3
8490	30	0	N2
8520	30	0	N2
8550	30	0	N2
8580	30	0	N2
8610	30	0	N3
8640	30	0	N2
8670	30	0	N2
8700	30	0	N2
8730	30	0	N3
8760	30	0	N3
8790	30	0	N2
8820	30	0	N3
8850	30	0	N3
8880	30	0	N2
8910	30	0	N3
8940	30	0	N2
8970	30	0	N3
9000	30	0	N3
9030	30	0	N3
9060	30	0	N3
9090	30	0	N3
9120	30	0	N3
9150	30	0	N2
9180	30	0	N2
9210	30	0	N2
9240	30	0	N2
9270	30	0	N2
9300	30	0	N3
9330	30	0	N3
9360	30	0	N3
9390	30	0	N3
9420	30	0	N3
9450	30	0	N3
9480	30	0	N3
9510	30	0	N3
9540	30	0	N3
9570	30	0	N3
9600	30	0	N3
9630	30	0	N3
9660	30	0	N3
9690	30	0	N3
9720	30	0	N3
9750	30	0	N2
9780	30	0	N3
9810	30	0	N2
9840	30	0	N2
9870	30	0	N2
9900	30	0	N2
9930	30	0	N2
9960	30	0	N3
9990	30	0	N2
10020	30	0	N2
10050	30	0	N3
10080	30	0	N2
10110	30	0	N2
10140	30	0	N2
10170	30	0	N2
10200	30	0	N3
10230	30	0	N2
10260	30	0	N2
10290	30	0	N2
10320	30	0	N2
10350	30	0	N3
10380	30	0	N3
10410	30	0	N2
10440	30	0	N2
10470	30	0	N2
10500	30	0	N3
10530	30	0	N2
10560	30	0	N2
10590	30	0	N2
10620	30	0	N3
10650	30	0	N2
10680	30	0	N3
10710	30	0	N2
10740	30	0	N2
10770	30	0	N3
10800	30	0	N2
10830	30	0	N2
10860	30	0	N2
10890	30	0	N3
10920	30	0	N2
10950	30	0	N2
10980	30	0	N2
11010	30	0	N2
11040	30	0	N2
11070	30	0	N2
11100	30	0	N2
11130	30	0	N2
11160	30	0	N2
11190	30	0	N2
11220	30	0	N2
11250	30	0	N2
11280	30	0	N2
11310	30	0	N2
11340	30	0	N2
11370	30	0	N2
11400	30	0	N2
11430	30	0	N2
11460	30	0	N2
11490	30	0	N2
11520	30	0	N2
11550	30	0	N2
11580	30	0	N2
11610	30	0	N2
11640	30	0	N2
11670	30	0	N2
11700	30	0	N2
11730	30	0	N2
11760	30	0	N2
11790	30	0	N2
11820	30	0	N2
11850	30	0	N2
11880	30	0	N2
11910	30	0	N2
11940	30	0	N2
11970	30	0	N2
12000	30	0	N2
12030	30	0	N2
12060	30	0	N2
12090	30	0	N2
12120	30	0	N2
12150	30	0	N2
12180	30	0	N2
12210	30	0	N2
12240	30	0	N2
12270	30	0	N2
12300	30	0	N2
12330	30	0	N2
12360	30	0	N2
12390	30	0	N2
12420	30	0	N2
12450	30	0	N2
12480	30	0	N2
12510	30	0	N2
12540	30	0	N2
12570	30	0	N2
12600	30	0	N2
12630	30	0	N2
12660	30	0	N2
12690	30	0	REM
12720	30	0	REM
12750	30	0	REM
12780	30	0	REM
12810	30	0	REM
12840	30	0	REM
12870	30	0	REM
12900	30	0	REM
12930	30	0	REM
12960	30	0	REM
12990	30	0	REM
13020	30	0	REM
13050	30	0	REM
13080	30	0	REM
13110	30	0	REM
13140	30	0	REM
13170	30	0	REM
13200	30	0	REM
13230	30	0	REM
13260	30	0	REM
13290	30	0	REM
13320	30	0	REM
13350	30	0	REM
13380	30	0	REM
13410	30	0	REM
13440	30	0	REM
13470	30	0	REM
13500	30	0	REM
13530	30	0	REM
13560	30	0	REM
13590	30	0	REM
13620	30	0	REM
13650	30	0	REM
13680	30	0	REM
13710	30	0	REM
13740	30	0	REM
13770	30	0	REM
13800	30	0	REM
13830	30	0	REM
13860	30	0	REM
13890	30	0	REM
13920	30	0	REM
13950	30	0	REM
13980	30	0	REM
14010	30	0	REM
14040	30	0	REM
14070	30	0	REM
14100	30	0	REM
14130	30	0	REM
14160	30	0	REM
14190	30	0	REM
14220	30	0	REM
14250	30	0	N1
14280	30	0	N1
14310	30	0	N1
14340	30	0	N1
14370	30	0	N2
14400	30	0	N2
14430	30	0	N2
14460	30	0	N2
14490	30	0	N2
14520	30	0	N2
14550	30	0	N2
14580	30	0	N2
14610	30	0	N2
14640	30	0	N2
14670	30	0	N2
14700	30	0	N2
14730	30	0	N2
14760	30	0	N2
14790	30	0	N2
14820	30	0	N2
14850	30	0	N2
14880	30	0	N2
14910	30	0	N2
14940	30	0	N2
14970	30	0	N2
15000	30	0	N2
15030	30	0	N2
15060	30	0	N2
15090	30	0	N2
15120	30	0	N2
15150	30	0	N2
15180	30	0	N2
15210	30	0	N2
15240	30	0	N2
15270	30	0	N2
15300	30	0	N2
15330	30	0	N2
15360	30	0	N2
15390	30	0	N2
15420	30	0	N2
15450	30	0	N2
15480	30	0	N2
15510	30	0	N2
15540	30	0	N2
15570	30	0	N2
15600	30	0	N2
15630	30	0	N2
15660	30	0	N2
15690	30	0	N2
15720	30	0	N2
15750	30	0	N2
15780	30	0	N2
15810	30	0	N2
15840	30	0	N2
15870	30	0	N2
15900	30	0	N2
15930	30	0	N2
15960	30	0	N2
15990	30	0	N2
16020	30	0	N2
16050	30	0	N2
16080	30	0	N2
16110	30	0	N2
16140	30	0	N2
16170	30	0	N2
16200	30	0	N2
16230	30	0	N2
16260	30	0	N2
16290	30	0	N2
16320	30	0	N2
16350	30	0	N2
16380	30	0	N2
16410	30	0	N2
16440	30	0	N2
16470	30	0	N2
16500	30	0	N2
16530	30	0	N2
16560	30	0	N2
16590	30	0	N2
16620	30	0	N2
16650	30	0	N2
16680	30	0	N2
16710	30	0	N2
16740	30	0	N2
16770	30	0	N2
16800	30	0	N2
16830	30	0	N2
16860	30	0	N2
16890	30	0	N2
16920	30	0	N2
16950	30	0	N2
16980	30	0	N2
17010	30	0	N2
17040	30	0	W
17070	30	0	W
17100	30	0	N1
17130	30	0	N1
17160	30	0	N1
17190	30	0	N1
17220	30	0	N1
17250	30	0	N1
17280	30	0	N1
17310	30	0	N1
17340	30	0	N1
17370	30	0	N1
17400	30	0	N1
17430	30	0	N1
17460	30	0	N1
17490	30	0	N1
17520	30	0	N1
17550	30	0	N1
17580	30	0	N1
17610	30	0	N1
17640	30	0	N1
17670	30	0	N1
17700	30	0	N1
17730	30	0	N2
17760	30	0	N2
17790	30	0	N2
17820	30	0	N2
17850	30	0	N2
17880	30	0	N2
17910	30	0	N2
17940	30	0	N2
17970	30	0	N2
18000	30	0	N2
18030	30	0	N2
18060	30	0	N2
18090	30	0	N2
18120	30	0	N2
18150	30	0	N2
18180	30	0	N2
18210	30	0	N2
18240	30	0	N2
18270	30	0	N2
18300	30	0	N2
18330	30	0	N2
18360	30	0	N2
18390	30	0	N2
18420	30	0	N2
18450	30	0	N2
18480	30	0	N2
18510	30	0	N2
18540	30	0	N2
18570	30	0	N2
18600	30	0	N2
18630	30	0	N2
18660	30	0	N2
18690	30	0	N2
18720	30	0	N2
18750	30	0	N2
18780	30	0	N2
18810	30	0	N2
18840	30	0	N2
18870	30	0	N2
18900	30	0	N2
18930	30	0	N2
18960	30	0	N2
18990	30	0	N2
19020	30	0	N2
19050	30	0	N2
19080	30	0	N2
19110	30	0	N2
19140	30	0	N2
19170	30	0	N2
19200	30	0	N2
19230	30	0	N2
19260	30	0	N2
19290	30	0	N2
19320	30	0	N2
19350	30	0	N2
19380	30	0	N2
19410	30	0	N2
19440	30	0	N2
19470	30	0	N2
19500	30	0	N2
19530	30	0	N2
19560	30	0	N2
19590	30	0	N2
19620	30	0	N2
19650	30	0	N2
19680	30	0	N2
19710	30	0	N2
19740	30	0	N2
19770	30	0	N2
19800	30	0	N2
19830	30	0	N2
19860	30	0	REM
19890	30	0	REM
19920	30	0	REM
19950	30	0	REM
19980	30	0	REM
20010	30	0	REM
20040	30	0	REM
20070	30	0	REM
20100	30	0	REM
20130	30	0	REM
20160	30	0	REM
20190	30	0	REM
20220	30	0	REM
20250	30	0	REM
20280	30	0	REM
20310	30	0	REM
20340	30	0	REM
20370	30	0	REM
